gateway,gw_lat,gw_lon,gw_elevation
24e124fffef4778e,20.654343543071263,106.06336067190244,8.0
24e124fffef4778e,20.65452,106.06321,8.0
24e124fffef4778e,20.65452,106.06329,8.0
24e124fffef4778e,20.65459,106.06314,8.0
24e124fffef4778e,20.6546,106.06334,13.0
24e124fffef4778e,20.89463,106.59198,7.0
24e124fffef4778e,20.89466,106.59207,7.0
24e124fffef4778e,20.89471,106.59219,8.0
24e124fffef4778e,20.89472,106.5921,8.0
24e124fffef4778e,20.89476,106.59211,8.0
24e124fffef4778e,20.89477,106.59221,8.0
24e124fffef4778e,20.89479,106.5921,8.0
24e124fffef4778e,20.89479,106.59211,8.0
24e124fffef4778e,20.89479,106.59221,8.0
24e124fffef4778e,20.89481,106.59211,8.0
24e124fffef4778e,20.89482,106.5921,8.0
24e124fffef4778e,20.89483,106.59209,8.0
24e124fffef4778e,20.89483,106.59212,8.0
24e124fffef4778e,20.89483,106.59221,8.0
24e124fffef4778e,20.89484,106.59213,8.0
24e124fffef4778e,20.89485,106.59212,8.0
24e124fffef4778e,20.8949,106.59217,8.0
24e124fffef4778e,20.89494,106.59222,8.0
24e124fffef4778e,20.89498,106.59223,8.0
24e124fffef4778e,20.89499,106.59224,8.0
24e124fffef4778e,20.89501,106.59227,8.0
24e124fffef4778e,20.89503,106.59219,8.0
24e124fffef4778e,20.89508,106.5923,8.0
24e124fffef4778e,20.89534,106.59235,8.0
24e124fffef4778e,20.9037201048448,106.63201332092288,2.0
24e124fffef4778e,20.90764894321804,106.64059638977052,4.0
24e124fffef4778e,20.91771,106.63849,3.0
24e124fffef4778e,20.91777,106.63856,3.0
24e124fffef4778e,20.91781,106.63869,3.0
24e124fffef4778e,20.91782,106.63864,3.0
24e124fffef4778e,20.91783,106.63874,3.0
24e124fffef4778e,20.91783,106.63875,3.0
24e124fffef4778e,20.91783,106.63877,4.0
24e124fffef4778e,20.91784,106.63872,3.0
24e124fffef4778e,20.91784,106.63874,3.0
24e124fffef4778e,20.91784,106.63876,4.0
24e124fffef4778e,20.91784,106.63881,4.0
24e124fffef4778e,20.91785,106.63865,3.0
24e124fffef4778e,20.91785,106.63873,3.0
24e124fffef4778e,20.91785,106.63874,3.0
24e124fffef4778e,20.91786,106.63871,3.0
24e124fffef4778e,20.91786,106.63872,3.0
24e124fffef4778e,20.91786,106.63875,3.0
24e124fffef4778e,20.91786,106.63878,4.0
24e124fffef4778e,20.91786,106.6388,4.0
24e124fffef4778e,20.91786,106.63881,4.0
24e124fffef4778e,20.91787,106.63868,3.0
24e124fffef4778e,20.91787,106.6387,3.0
24e124fffef4778e,20.91787,106.63872,3.0
24e124fffef4778e,20.91787,106.63873,3.0
24e124fffef4778e,20.91787,106.63875,3.0
24e124fffef4778e,20.91787,106.63876,4.0
24e124fffef4778e,20.91787,106.63877,4.0
24e124fffef4778e,20.91787,106.63879,4.0
24e124fffef4778e,20.91787,106.63883,4.0
24e124fffef4778e,20.91788,106.63869,3.0
