device,lat,lon,gateway,gw_lat,gw_lon,rssi,snr,time,frequency,bandwidth,spreading_factor
node01,20.654326,106.06275000000001,24e124fffef4778e,20.65459,106.06314,-118,2.0,2025-11-28T04:09:16.994+00:00,921400000,125000,10
node01,20.654395,106.062725,24e124fffef4778e,20.65459,106.06314,-121,-1.8,2025-11-28T04:08:46.998+00:00,921400000,125000,10
node01,20.654395,106.062725,24e124fffef4778e,20.65459,106.06314,-115,5.5,2025-11-28T04:08:32.001+00:00,921400000,125000,10
node01,20.654395,106.062725,24e124fffef4778e,20.65459,106.06314,-121,-2.8,2025-11-28T04:08:17.003+00:00,921400000,125000,10
node01,20.654395,106.062725,24e124fffef4778e,20.65459,106.06314,-113,-7.0,2025-11-28T04:08:02.005+00:00,921400000,125000,10
node01,20.654386000000006,106.06271599999998,24e124fffef4778e,20.65459,106.06314,-122,-5.0,2025-11-28T04:07:47.008+00:00,921400000,125000,10
node01,20.654215,106.063283,24e124fffef4778e,20.65452,106.06321,-123,-7.2,2025-11-27T09:51:26.188+00:00,921400000,125000,10
node01,20.654231,106.06326999999999,7076ff0054070418,20.654447555541992,106.06317138671875,-125,-6.0,2025-11-27T09:51:11.190+00:00,921400000,125000,10
node01,20.654231,106.06326999999999,24e124fffef4778e,20.65452,106.06321,-119,2.2,2025-11-27T09:51:11.190+00:00,921400000,125000,10
node01,20.657436,106.05782500000001,24e124fffef4778e,20.65452,106.06321,-123,-9.0,2025-11-27T09:42:39.091+00:00,921400000,125000,10
node01,20.660103,106.06398000000002,24e124fffef4778e,20.65452,106.06321,-124,-16.5,2025-11-27T09:38:56.391+00:00,921400000,125000,10
node01,20.654163,106.06344999999999,24e124fffef4778e,20.65452,106.06321,-116,5.2,2025-11-27T09:33:21.316+00:00,921400000,125000,10
node01,20.653355,106.064201,24e124fffef4778e,20.65452,106.06321,-122,-3.2,2025-11-27T09:32:51.320+00:00,921400000,125000,10
node01,20.654461,106.06339300000002,24e124fffef4778e,20.65452,106.06321,-124,-12.8,2025-11-27T09:09:23.295+00:00,921400000,125000,10
node01,20.654474999999998,106.06338500000001,24e124fffef4778e,20.65452,106.06321,-121,-2.0,2025-11-27T09:09:08.298+00:00,921400000,125000,10
node01,20.654474999999998,106.06338500000001,7076ff0054070418,20.65434354284852,106.06336067221548,-116,6.8,2025-11-27T09:09:08.298+00:00,921400000,125000,10
node01,20.65447,106.06330299999999,7076ff0054070418,20.65434354284852,106.06336067221548,-108,6.0,2025-11-27T09:08:03.572+00:00,921400000,125000,10
node01,20.65447,106.06330299999999,24e124fffef4778e,20.65452,106.06321,-107,-3.5,2025-11-27T09:08:03.572+00:00,921400000,125000,10
node01,20.654468,106.063295,7076ff0054070418,20.65434354284852,106.06336067221548,-116,3.5,2025-11-27T09:07:48.574+00:00,921400000,125000,10
node01,20.654468,106.063295,24e124fffef4778e,20.65452,106.06321,-120,-1.0,2025-11-27T09:07:48.574+00:00,921400000,125000,10
node01,20.654483,106.06327300000001,7076ff0054070418,20.65434354284852,106.06336067221548,-107,9.2,2025-11-27T09:07:33.577+00:00,921400000,125000,10
node01,20.654483,106.06327300000001,24e124fffef4778e,20.65452,106.06321,-119,1.2,2025-11-27T09:07:33.577+00:00,921400000,125000,10
node01,20.65448,106.063208,7076ff0054070418,20.65434354284852,106.06336067221548,-99,9.5,2025-11-27T09:07:18.579+00:00,921400000,125000,10
node01,20.65448,106.063208,24e124fffef4778e,20.65452,106.06321,-122,-7.0,2025-11-27T09:07:18.579+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-114,4.8,2025-11-27T09:06:01.698+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-116,4.8,2025-11-27T09:06:01.698+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-114,6.5,2025-11-27T09:05:46.700+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,2.5,2025-11-27T09:05:46.700+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-116,7.0,2025-11-27T09:05:31.703+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-119,2.0,2025-11-27T09:05:31.703+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-115,7.2,2025-11-27T09:05:17.699984+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-115,6.8,2025-11-27T09:05:01.707+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,1.8,2025-11-27T09:05:01.707+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-119,1.2,2025-11-27T09:04:46.710+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-115,7.8,2025-11-27T09:04:46.710+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,2.0,2025-11-27T09:04:31.712+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-114,8.2,2025-11-27T09:04:31.712+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-114,7.5,2025-11-27T09:04:16.714+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,2.5,2025-11-27T09:04:16.714+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-115,7.5,2025-11-27T09:04:01.716+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,2.2,2025-11-27T09:04:01.716+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-116,3.5,2025-11-27T09:03:46.719+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-112,7.0,2025-11-27T09:03:46.719+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-112,7.8,2025-11-27T09:03:31.721+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-117,1.8,2025-11-27T09:03:31.721+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-100,10.0,2025-11-27T09:03:16.723+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,2.0,2025-11-27T09:03:16.723+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-108,11.2,2025-11-27T09:03:01.726+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,2.5,2025-11-27T09:03:01.726+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-103,9.5,2025-11-27T09:02:46.728+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,2.2,2025-11-27T09:02:46.728+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,1.2,2025-11-27T09:02:31.730+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-105,8.8,2025-11-27T09:02:31.730+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-103,8.2,2025-11-27T09:02:16.732+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,2.2,2025-11-27T09:02:16.732+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-117,3.0,2025-11-27T09:02:01.735+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-104,9.2,2025-11-27T09:02:01.735+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,2.5,2025-11-27T09:01:46.737+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-101,9.0,2025-11-27T09:01:46.737+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-103,10.8,2025-11-27T09:01:31.739+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-116,-5.8,2025-11-27T09:01:31.739+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-119,1.5,2025-11-27T09:01:16.742+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-107,9.8,2025-11-27T09:01:16.742+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-119,1.0,2025-11-27T09:01:01.744+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-105,8.8,2025-11-27T09:01:01.744+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-102,9.2,2025-11-27T09:00:46.746+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-119,1.8,2025-11-27T09:00:46.746+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-116,-7.5,2025-11-27T09:00:31.748+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-107,9.0,2025-11-27T09:00:31.748+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,7076ff0054070418,20.65434354284852,106.06336067221548,-103,9.0,2025-11-27T09:00:16.751+00:00,921400000,125000,10
node01,20.654448000000002,106.06340500000002,24e124fffef4778e,20.65452,106.06321,-118,1.5,2025-11-27T09:00:16.751+00:00,921400000,125000,10
node01,20.65444,106.063366,7076ff0054070418,20.65434354284852,106.06336067221548,-100,11.2,2025-11-27T09:00:01.753+00:00,921400000,125000,10
node01,20.65444,106.063366,24e124fffef4778e,20.65452,106.06321,-111,7.8,2025-11-27T09:00:01.753+00:00,921400000,125000,10
node01,20.65444,106.063366,7076ff0054070418,20.65434354284852,106.06336067221548,-113,8.2,2025-11-27T08:59:46.755+00:00,921400000,125000,10
node01,20.65444,106.063366,24e124fffef4778e,20.65452,106.06321,-113,6.2,2025-11-27T08:59:46.755+00:00,921400000,125000,10
node01,20.654401,106.063326,24e124fffef4778e,20.65452,106.06321,-120,-2.0,2025-11-27T08:59:31.758+00:00,921400000,125000,10
node01,20.654401,106.063326,7076ff0054070418,20.65434354284852,106.06336067221548,-121,2.0,2025-11-27T08:59:31.758+00:00,921400000,125000,10
node01,20.654396000000002,106.06336000000002,24e124fffef4778e,20.65452,106.06321,-118,2.0,2025-11-27T08:59:16.760+00:00,921400000,125000,10
node01,20.654396000000002,106.06336000000002,7076ff0054070418,20.65434354284852,106.06336067221548,-110,7.2,2025-11-27T08:59:16.760+00:00,921400000,125000,10
node01,20.654346,106.06333099999999,24e124fffef4778e,20.65452,106.06321,-123,-13.2,2025-11-27T08:59:01.762+00:00,921400000,125000,10
node01,20.654346,106.06333099999999,7076ff0054070418,20.65434354284852,106.06336067221548,-111,8.0,2025-11-27T08:59:01.762+00:00,921400000,125000,10
node01,20.654322999999998,106.063345,7076ff0054070418,20.65434354284852,106.06336067221548,-94,10.0,2025-11-27T08:58:46.764+00:00,921400000,125000,10
node01,20.654313000000002,106.06333,7076ff0054070418,20.65434354284852,106.06336067221548,-109,10.2,2025-11-27T08:58:31.767+00:00,921400000,125000,10
node01,20.654313000000002,106.06333,24e124fffef4778e,20.65452,106.06321,-121,-2.5,2025-11-27T08:58:31.767+00:00,921400000,125000,10
node01,20.654333,106.063301,7076ff0054070418,20.65434354284852,106.06336067221548,-101,11.2,2025-11-27T08:58:16.769+00:00,921400000,125000,10
node01,20.654333,106.063301,24e124fffef4778e,20.65452,106.06321,-116,4.5,2025-11-27T08:58:16.769+00:00,921400000,125000,10
node01,20.654468,106.06326999999999,7076ff0054070418,20.65434354284852,106.06336067221548,-109,8.0,2025-11-27T08:58:01.771+00:00,921400000,125000,10
node01,20.654468,106.06326999999999,24e124fffef4778e,20.65452,106.06321,-123,-7.5,2025-11-27T08:58:01.771+00:00,921400000,125000,10
node01,20.65451,106.06326800000002,24e124fffef4778e,20.65452,106.06321,-112,-4.8,2025-11-27T08:57:46.773+00:00,921400000,125000,10
node01,20.65451,106.06326800000002,7076ff0054070418,20.65434354284852,106.06336067221548,-102,10.5,2025-11-27T08:57:46.773+00:00,921400000,125000,10
node01,20.65442,106.06329000000001,24e124fffef4778e,20.65452,106.06321,-117,3.5,2025-11-27T08:57:31.776+00:00,921400000,125000,10
node01,20.65442,106.06329000000001,7076ff0054070418,20.65434354284852,106.06336067221548,-109,10.2,2025-11-27T08:57:31.776+00:00,921400000,125000,10
node01,20.654329999999998,106.063365,7076ff0054070418,20.65434354284852,106.06336067221548,-104,12.8,2025-11-27T08:57:01.780+00:00,921400000,125000,10
node01,20.654329999999998,106.063365,24e124fffef4778e,20.65452,106.06321,-117,3.8,2025-11-27T08:57:01.780+00:00,921400000,125000,10
node01,20.654335,106.063518,7076ff0054070418,20.65434354284852,106.06336067221548,-102,10.5,2025-11-27T08:56:46.783+00:00,921400000,125000,10
node01,20.654335,106.063518,24e124fffef4778e,20.65452,106.06321,-117,2.8,2025-11-27T08:56:46.783+00:00,921400000,125000,10
node01,20.65439,106.06341800000003,7076ff0054070418,20.65434354284852,106.06336067221548,-104,12.2,2025-11-27T08:56:31.785+00:00,921400000,125000,10
node01,20.65439,106.06341800000003,24e124fffef4778e,20.65452,106.06321,-118,2.8,2025-11-27T08:56:31.785+00:00,921400000,125000,10
