device,lat,lon,gateway,gw_lat,gw_lon,rssi,snr,time,frequency,bandwidth,spreading_factor
board01,16.0729548,108.1499147,a840411eebb44150,16.0740984,108.15253,-109,-14.0,2026-02-17T12:22:46.054315+00:00,922200000,125000,12
board01,16.0729441,108.14988100000001,a840411eebb44150,16.0740984,108.15253,-108,-12.8,2026-02-17T12:22:31.052469+00:00,922200000,125000,12
board01,16.0729309,108.14995190000002,a840411eebb44150,16.0740984,108.15253,-108,-12.5,2026-02-17T12:22:16.049855+00:00,922200000,125000,12
board01,16.0734873,108.15144269999999,a840411eebb44150,16.0740984,108.15253,-87,3.0,2026-02-16T03:48:30.007869+00:00,922200000,125000,12
board01,16.074712400000003,108.15472610000002,a840411eebb44150,16.0740984,108.15253,-114,-19.5,2026-02-16T03:48:00.018041+00:00,922200000,125000,12
board01,16.0746397,108.1546994,a840411eebb44150,16.0740984,108.15253,-107,-11.8,2026-02-15T08:25:23.038234+00:00,922200000,125000,12
board01,16.0740777,108.15319,a840411eebb44150,16.0740984,108.15253,-87,5.5,2026-02-15T08:25:08.042659+00:00,922200000,125000,12
board01,16.0735488,108.15176290000002,a840411eebb44150,16.0740984,108.15253,-65,8.5,2026-02-15T08:24:53.037650+00:00,922200000,125000,12
board01,16.0730426,108.15043659999999,a840411eebb44150,16.0740984,108.15253,-92,-2.2,2026-02-15T08:24:38.044420+00:00,922200000,125000,12
board01,16.0730253,108.14992069999998,a840411eebb44150,16.0740984,108.15253,-112,-17.0,2026-02-15T08:24:23.044021+00:00,922200000,125000,12
board01,16.073028900000004,108.1499564,a840411eebb44150,16.0740984,108.15253,-112,-17.5,2026-02-15T08:24:08.041189+00:00,922200000,125000,12
board01,16.0730237,108.14996379999998,a840411eebb44150,16.0740984,108.15253,-113,-19.2,2026-02-15T08:23:38.047466+00:00,922200000,125000,12
board01,16.0746691,108.1549485,a840411eebb44150,16.0740984,108.15253,-114,-19.0,2026-02-14T12:49:15.041217+00:00,922200000,125000,12
board01,16.074190800000004,108.15370890000001,a840411eebb44150,16.0740984,108.15253,-88,-2.2,2026-02-14T12:49:01.041721+00:00,922200000,125000,12
board01,16.0737812,108.1525523,a840411eebb44150,16.0740984,108.15253,-59,7.8,2026-02-14T12:48:47.044313+00:00,922200000,125000,12
board01,16.0733644,108.1515222,a840411eebb44150,16.0740984,108.15253,-74,8.5,2026-02-14T12:48:33.046437+00:00,922200000,125000,12
board01,16.0730016,108.15050160000001,a840411eebb44150,16.0740984,108.15253,-92,-3.2,2026-02-14T12:48:19.045864+00:00,922200000,125000,12
board01,16.072916900000003,108.14992009999999,a840411eebb44150,16.0740984,108.15253,-101,-7.8,2026-02-14T12:48:05.042934+00:00,922200000,125000,12
board01,16.0729952,108.1498938,a840411eebb44150,16.0740984,108.15253,-106,-11.0,2026-02-14T12:47:51.052290+00:00,922200000,125000,12
board01,16.072997899999997,108.14989449999999,a840411eebb44150,16.0740984,108.15253,-106,-10.8,2026-02-14T12:47:37.054363+00:00,922200000,125000,12
board01,16.0748339,108.15505909999999,a840411eebb44150,16.0740984,108.15253,-113,-19.0,2026-02-14T08:15:37.018657+00:00,922200000,125000,12
board01,16.074213500000003,108.15346779999997,a840411eebb44150,16.0740984,108.15253,-89,-2.0,2026-02-14T08:15:22.016145+00:00,922200000,125000,12
board01,16.0736263,108.15192890000003,a840411eebb44150,16.0740984,108.15253,-78,8.5,2026-02-14T08:15:07.019204+00:00,922200000,125000,12
board01,16.07316,108.15069679999999,a840411eebb44150,16.0740984,108.15253,-89,5.2,2026-02-14T08:14:52.022311+00:00,922200000,125000,12
board01,16.0730663,108.15000129999996,a840411eebb44150,16.0740984,108.15253,-108,-12.5,2026-02-14T08:14:22.028932+00:00,922200000,125000,12
board01,16.0730567,108.14999,a840411eebb44150,16.0740984,108.15253,-108,-13.2,2026-02-14T08:13:52.028413+00:00,922200000,125000,12
board01,16.0731631,108.15046190000002,a840411eebb44150,16.0740984,108.15253,-100,-5.5,2026-02-14T02:49:57.053725+00:00,922200000,125000,12
board01,16.0735399,108.15142209999999,a840411eebb44150,16.0740984,108.15253,-91,1.5,2026-02-14T02:49:43.049132+00:00,922200000,125000,12
board01,16.073991499999998,108.1526189,a840411eebb44150,16.0740984,108.15253,-78,8.5,2026-02-14T02:49:29.055053+00:00,922200000,125000,12
board01,16.074450000000002,108.15390129999999,a840411eebb44150,16.0740984,108.15253,-88,-0.5,2026-02-14T02:49:15.059664+00:00,922200000,125000,12
board01,16.074960500000003,108.15521960000001,a840411eebb44150,16.0740984,108.15253,-113,-18.2,2026-02-14T02:49:01.056645+00:00,922200000,125000,12
board01,16.074443800000005,108.1541618,a840411eebb44150,16.0740984,108.15253,-94,-1.5,2026-02-13T10:50:01.015653+00:00,922200000,125000,12
board01,16.0738549,108.15259089999999,a840411eebb44150,16.0740984,108.15253,-60,5.8,2026-02-13T10:49:46.012028+00:00,922200000,125000,12
board01,16.073352399999997,108.1512105,a840411eebb44150,16.0740984,108.15253,-87,3.5,2026-02-13T10:49:31.018061+00:00,922200000,125000,12
board01,16.072938,108.1500652,a840411eebb44150,16.0740984,108.15253,-104,-9.5,2026-02-13T10:49:16.015009+00:00,922200000,125000,12
board01,16.0731911,108.1498744,a840411eebb44150,16.0740984,108.15253,-110,-15.0,2026-02-13T10:49:01.017009+00:00,922200000,125000,12
board01,16.073200500000002,108.14986940000001,a840411eebb44150,16.0740984,108.15253,-107,-12.0,2026-02-13T10:48:46.023681+00:00,922200000,125000,12
board01,16.0708221,108.1547391,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-130,-16.0,2026-02-13T09:35:34.868878466+00:00,922200000,125000,12
board01,16.074123800000002,108.15325509999998,a840411eebb44150,16.0740984,108.15253,-82,1.5,2026-02-13T09:23:59.058343+00:00,922200000,125000,12
board01,16.0732536,108.15092159999999,a840411eebb44150,16.0740984,108.15253,-93,1.8,2026-02-13T09:23:29.058989+00:00,922200000,125000,12
board01,16.07317,108.14983120000002,a840411eebb44150,16.0740984,108.15253,-109,-14.8,2026-02-13T09:22:29.065162+00:00,922200000,125000,12
board01,16.073180100000002,108.14983400000001,a840411eebb44150,16.0740984,108.15253,-111,-15.8,2026-02-13T09:21:59.070036+00:00,922200000,125000,12
board01,16.073327499999998,108.14979650000001,a840411eebb44150,16.0740984,108.15253,-90,-19.2,2026-02-13T09:21:29.071850+00:00,922200000,125000,12
board01,16.0319141,108.21403249999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-126,-10.0,2026-02-09T13:57:04.884820373+00:00,922200000,125000,12
board01,16.0321378,108.21575790000001,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-134,-17.5,2026-02-09T13:53:53.235604783+00:00,922200000,125000,12
board01,16.0322845,108.21691879999999,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-125,-10.5,2026-02-09T13:53:38.240038180+00:00,922200000,125000,12
board01,16.0323014,108.21872879999998,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-131,-17.3,2026-02-09T13:53:08.282807159+00:00,922200000,125000,12
board01,16.0319795,108.2187817,ac1f09fffe06fcf2,16.054765682623003,108.21985626414313,-131,-14.5,2026-02-09T13:52:53.243395447+00:00,922200000,125000,12
